review,aspect,category
"We have been to this place many times, and always have great food, wine, and service.",service,SERVICE#GENERAL:positive
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE#GENERAL:positive
As always we had a great glass of wine while we waited.,glass of wine,DRINKS#QUALITY:positive
"When we sat, we got great and fast service.",service,SERVICE#GENERAL:positive
The people that work there are always so friendly you forget you are in New York sometimes.,people,SERVICE#GENERAL:positive
Make sure you try this place as often as you can.,place,RESTAURANT#GENERAL:positive
This is a fun restaurant to go to.,restaurant,RESTAURANT#GENERAL:positive
The pizza is yummy and I like the atmoshpere.,pizza,FOOD#QUALITY:positive
The pizza is yummy and I like the atmoshpere.,atmoshpere,AMBIENCE#GENERAL:positive
But the pizza is way to expensive.,pizza,FOOD#PRICES:negative
"A large is $20, and toppings are about $3 each.",NULL,FOOD#PRICES:negative
"A large is $20, and toppings are about $3 each.",toppings,FOOD#PRICES:negative
I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,FOOD#QUALITY:negative
Sauce was watery and the food didn't have much flavor.,Sauce,FOOD#QUALITY:negative
Sauce was watery and the food didn't have much flavor.,food,FOOD#QUALITY:negative
I don't think I would go again.,NULL,RESTAURANT#GENERAL:negative
This place is great.,place,RESTAURANT#GENERAL:positive
I had a huge group for my birthday and we were well taken care of.,NULL,SERVICE#GENERAL:positive
The waitress was very patient with us and the food is phenomenal!,waitress,SERVICE#GENERAL:positive
The waitress was very patient with us and the food is phenomenal!,food,FOOD#QUALITY:positive
"Service was prompt, friendly and great.",Service,SERVICE#GENERAL:positive
Slightly on the pricey side but worth it!,NULL,RESTAURANT#PRICES:negative
Slightly on the pricey side but worth it!,NULL,RESTAURANT#GENERAL:positive
Great pizza and fantastic service.,pizza,FOOD#QUALITY:positive
Great pizza and fantastic service.,service,SERVICE#GENERAL:positive
"There was a small wait, but shorter than I expected.",wait,SERVICE#GENERAL:positive
Located at the end of a magnificent block.,block,LOCATION#GENERAL:positive
Very cozy and warm inside.....,NULL,AMBIENCE#GENERAL:positive
I will be back!,NULL,RESTAURANT#GENERAL:positive
This is the best sushi in new york city - hands down.,sushi,FOOD#QUALITY:positive
The place is small and cramped but the food is fantastic.,place,AMBIENCE#GENERAL:negative
The place is small and cramped but the food is fantastic.,food,FOOD#QUALITY:positive
Get the tuna of gari.,tuna of gari,FOOD#QUALITY:positive
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,FOOD#QUALITY:positive
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,FOOD#QUALITY:positive
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",Planet Thailand,RESTAURANT#GENERAL:positive
"With the great variety on the menu , I eat here often and never get bored .",menu,FOOD#STYLE_OPTIONS:positive
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,AMBIENCE#GENERAL:neutral
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",NULL,RESTAURANT#PRICES:positive
It's all about the food !!,food,FOOD#QUALITY:positive
first it took us a long time to find the place.,place,RESTAURANT#MISCELLANEOUS:negative
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,FOOD#STYLE_OPTIONS:negative
"those rolls were big, but not good and sashimi wasn't fresh.",rolls,FOOD#STYLE_OPTIONS:neutral
"those rolls were big, but not good and sashimi wasn't fresh.",rolls,FOOD#QUALITY:negative
"those rolls were big, but not good and sashimi wasn't fresh.",sashimi,FOOD#QUALITY:negative
"they were dry and disgusting, i didn't even finish my first piece.",NULL,FOOD#QUALITY:negative
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,NULL,SERVICE#GENERAL:positive
"Try the crunchy tuna, it is to die for.",crunchy tuna,FOOD#QUALITY:positive
"Try everything for that matter, it is all good.",NULL,FOOD#QUALITY:positive
I have been going there since it opened and I can't get enough.,NULL,RESTAURANT#GENERAL:positive
First went here to enjoy their garden terrace.,garden terrace,AMBIENCE#GENERAL:positive
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,FOOD#QUALITY:positive
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,SERVICE#GENERAL:positive
"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD#STYLE_OPTIONS:positive
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen,AMBIENCE#GENERAL:positive
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,AMBIENCE#GENERAL:negative
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,DRINKS#STYLE_OPTIONS:positive
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,DRINKS#QUALITY:positive
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,DRINKS#PRICES:positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",NULL,AMBIENCE#GENERAL:neutral
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,AMBIENCE#GENERAL:positive
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,FOOD#QUALITY:positive
"Have recommended the place to friends, always gets good response.",place,RESTAURANT#MISCELLANEOUS:positive
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust,FOOD#QUALITY:positive
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,FOOD#QUALITY:positive
I take all my NYC guests to VT's.,VT's,RESTAURANT#MISCELLANEOUS:positive
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",neighborhood,LOCATION#GENERAL:positive
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food,FOOD#QUALITY:positive
I've been there three times and have always had wonderful experiences.,NULL,RESTAURANT#GENERAL:positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,AMBIENCE#GENERAL:positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,SERVICE#GENERAL:positive
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,NULL,RESTAURANT#MISCELLANEOUS:positive
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,Mizu,RESTAURANT#GENERAL:positive
Even after they overcharged me the last time I was there.,NULL,SERVICE#GENERAL:negative
Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,FOOD#QUALITY:positive
it's delicious!,NULL,FOOD#QUALITY:positive
"Moules were excellent, lobster ravioli was VERY salty!",Moules,FOOD#QUALITY:positive
"Moules were excellent, lobster ravioli was VERY salty!",lobster ravioli,FOOD#QUALITY:negative
"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',SERVICE#GENERAL:negative
"Told us to sit anywhere, and when we sat he said the table was reserved.",NULL,SERVICE#GENERAL:negative
Stepped on my foot on the SECOND time he reached over me to adjust lighting.,NULL,SERVICE#GENERAL:negative
Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,FOOD#STYLE_OPTIONS:negative
Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,FOOD#PRICES:negative
The drinks are always welll made and wine selection is fairly priced.,drinks,DRINKS#QUALITY:positive
The drinks are always welll made and wine selection is fairly priced.,wine selection,DRINKS#PRICES:positive
Try their chef's specials-- they are to die for.,chef's specials,FOOD#QUALITY:positive
"Service is not exactly five star, but thats not really a big deal.",Service,SERVICE#GENERAL:neutral
Downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE#GENERAL:positive
"Raga's is a romantic, cozy restaurant.",Raga's,AMBIENCE#GENERAL:positive
The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,FOOD#STYLE_OPTIONS:positive
The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,FOOD#QUALITY:positive
It is also extremely well priced.,NULL,FOOD#PRICES:positive
The staff is incredibly helpful and attentive.,staff,SERVICE#GENERAL:positive
The bar is very well stocked with interesting beers and well priced wines.,bar,DRINKS#STYLE_OPTIONS:positive
The bar is very well stocked with interesting beers and well priced wines.,beers,DRINKS#STYLE_OPTIONS:positive
The bar is very well stocked with interesting beers and well priced wines.,wines,DRINKS#PRICES:positive
This is one of my favorite restaurants and it is not to be missed.,NULL,RESTAURANT#GENERAL:positive
Your friends will thank you for introducing them to this gem!,NULL,RESTAURANT#GENERAL:positive
"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",Leon,RESTAURANT#GENERAL:negative
"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,SERVICE#GENERAL:negative
"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",NULL,SERVICE#GENERAL:negative
Such a disappointment...,NULL,SERVICE#GENERAL:negative
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",service,SERVICE#GENERAL:negative
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",food,FOOD#QUALITY:neutral
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",NULL,RESTAURANT#GENERAL:negative
I had a grat time at Jekyll and Hyde!,Jekyll and Hyde,RESTAURANT#GENERAL:positive
I loved everythig about it-especially the shows and actors.,NULL,RESTAURANT#GENERAL:positive
I loved everythig about it-especially the shows and actors.,shows,AMBIENCE#GENERAL:positive
I loved everythig about it-especially the shows and actors.,actors,AMBIENCE#GENERAL:positive
Our server was very helpful and friendly.,server,SERVICE#GENERAL:positive
I am bringing my whole family back next time.,NULL,RESTAURANT#MISCELLANEOUS:positive
The food was good too.,food,FOOD#QUALITY:positive
The tuna and wasabe potatoes are excellent.,tuna,FOOD#QUALITY:positive
The tuna and wasabe potatoes are excellent.,wasabe potatoes,FOOD#QUALITY:positive
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,LOCATION#GENERAL:positive
"Inside is a little cramped, but to be expected.",NULL,AMBIENCE#GENERAL:neutral
Service was prompt and courteous.,Service,SERVICE#GENERAL:positive
This was a repeat visit and we'll definitely be back again.,NULL,RESTAURANT#GENERAL:positive
"Great service, great food.",service,SERVICE#GENERAL:positive
"Great service, great food.",food,FOOD#QUALITY:positive
Prices are in line.,NULL,RESTAURANT#PRICES:neutral
But too far east!,NULL,LOCATION#GENERAL:negative
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,FOOD#QUALITY:positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,FOOD#QUALITY:positive
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,FOOD#STYLE_OPTIONS:negative
"Also, because it is so thin, it gets cold very quickly and its not that filling.",NULL,FOOD#QUALITY:negative
"Also, because it is so thin, it gets cold very quickly and its not that filling.",NULL,FOOD#STYLE_OPTIONS:negative
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,Wait staff,SERVICE#GENERAL:negative
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,pie,FOOD#QUALITY:positive
By far the best salad I have had in a fast food restaurant.,salad,FOOD#QUALITY:positive
fine dining restaurant quality.,dining,FOOD#QUALITY:positive
Over 100 different choices to create your own.,NULL,FOOD#STYLE_OPTIONS:positive
A must try!,NULL,RESTAURANT#GENERAL:positive
